date,client,platform,campaign,impressions,clicks,cost,conversions,ctr,cpc,cpa,month,extracted_client,campaign_category,date_clean
2025-08-29,ClientF,Facebook Ads,ClientF-Messenger,25212.0,327,1125.3,16,1.3,3.44,70.33,8,ClientF,Other,2025-08-29
2025-03-08,ClientI,Google Ads,ClientI-Search-Brand,30633.0,1090,4086.53,37,3.56,3.75,110.45,3,ClientI,Search,2025-03-08
2025-01-10,ClientC,Google Ads,ClientC-Shopping-Products,46007.0,1616,6050.89,23,3.51,3.74,263.08,1,ClientC,Other,2025-01-10
2025-09-28,ClientA,Google Ads,ClientA-YouTube-Awareness,32530.0,782,1573.45,0,2.4,2.01,0.0,9,ClientA,Other,2025-09-28
2024-12-14,ClientF,Google Ads,ClientF-Shopping-Products,35546.0,297,806.77,5,1.34,1.7,100.85,12,ClientF,Other,2024-12-14
2025-10-23,ClientH,Facebook Ads,ClientH-IG-Stories,35064.0,1171,2495.64,16,3.34,2.13,155.98,10,ClientH,Other,2025-10-23
2025-01-23,ClientI,Google Ads,ClientI-Display-Prospecting,25721.0,515,880.37,14,2.0,1.71,62.88,1,ClientI,Display,2025-01-23
2025-10-04,ClientH,Facebook Ads,ClientH-IG-Stories,22235.0,250,1247.87,5,1.12,4.99,249.57,10,ClientH,Other,2025-10-04
2025-09-26,ClientJ,Google Ads,ClientJ-Display-Prospecting,2047.0,47,61.5,1,2.3,1.31,61.5,9,ClientJ,Display,2025-09-26
2024-12-09,ClientH,Google Ads,ClientH-Shopping-Products,47120.0,1807,7859.55,56,6.14,2.72,87.72,12,ClientH,Other,2024-12-09
2025-10-11,ClientB,Google Ads,ClientB-Search-Nonbrand,28214.0,2255,10020.39,96,7.99,4.44,104.38,10,ClientB,Search,2025-10-11
2025-02-15,ClientH,Google Ads,ClientH-YouTube-Awareness,19086.0,1080,1650.56,30,5.66,1.53,55.02,2,ClientH,Other,2025-02-15
2025-07-01,ClientB,Google Ads,ClientB-Shopping-Products,20846.0,344,677.75,15,1.65,1.97,45.18,7,ClientB,Other,2025-07-01
2025-11-01,ClientF,Facebook Ads,ClientF-Messenger,14141.0,671,2445.42,8,7.59,2.28,191.05,11,ClientF,Other,2025-11-01
2025-08-18,ClientC,Facebook Ads,ClientC-FB-Prospecting,2251.0,80,287.42,0,3.55,3.59,0.0,8,ClientC,Other,2025-08-18
2025-04-25,ClientI,Google Ads,ClientI-Search-Nonbrand,42154.0,2472,9398.54,49,5.86,3.8,191.81,4,ClientI,Search,2025-04-25
2025-02-16,ClientD,Google Ads,ClientD-Search-Nonbrand,44682.0,2233,7653.6,87,5.0,3.43,87.97,2,ClientD,Search,2025-02-16
2025-06-30,ClientF,Google Ads,ClientF-Shopping-Products,15638.0,1220,935.52,18,7.8,0.77,51.97,6,ClientF,Other,2025-06-30
2025-06-13,ClientL,Google Ads,ClientL-YouTube-Awareness,29017.0,1828,1539.65,88,6.3,0.84,17.5,6,ClientL,Other,2025-06-13
2025-06-15,ClientG,Google Ads,ClientG-Display-Prospecting,48939.0,2413,11772.23,8,4.93,4.88,1471.53,6,ClientG,Display,2025-06-15
2024-12-22,ClientI,Facebook Ads,ClientI-IG-Stories,33203.0,1405,5083.89,44,6.77,2.26,72.21,12,ClientI,Other,2024-12-22
2025-02-24,ClientC,Google Ads,ClientC-Search-Brand,48967.0,2717,12803.07,133,5.55,4.71,96.26,2,ClientC,Search,2025-02-24
2025-08-22,ClientE,Google Ads,ClientE-Display-Prospecting,25051.0,1724,983.3,28,6.88,0.57,35.12,8,ClientE,Display,2025-08-22
2025-04-19,ClientI,Google Ads,ClientI-YouTube-Awareness,19514.0,295,292.34,13,1.51,0.99,22.49,4,ClientI,Other,2025-04-19
2025-01-25,ClientA,Facebook Ads,ClientA-IG-Stories,17338.0,853,2497.51,33,4.92,2.93,75.68,1,ClientA,Other,2025-01-25
2025-11-27,ClientJ,Facebook Ads,ClientJ-Messenger,30837.0,429,3292.32,21,2.23,4.8,97.99,11,ClientJ,Other,2025-11-27
2024-12-23,ClientG,Facebook Ads,ClientG-FB-Remarketing,16590.0,442,2657.57,20,4.26,3.76,83.05,12,ClientG,Other,2024-12-23
2025-01-13,ClientB,Google Ads,ClientB-Display-Prospecting,4023.0,266,1111.99,7,6.61,4.18,158.86,1,ClientB,Display,2025-01-13
2025-09-11,ClientD,Google Ads,ClientD-Search-Nonbrand,19608.0,375,473.33,9,1.91,1.26,52.59,9,ClientD,Search,2025-09-11
2025-08-20,ClientF,Google Ads,ClientF-Search-Nonbrand,44832.0,3447,17219.37,48,7.69,5.0,358.74,8,ClientF,Search,2025-08-20
2024-12-13,ClientH,Google Ads,ClientH-Search-Nonbrand,66110.0,1547,7078.85,70,3.74,2.86,63.2,12,ClientH,Search,2024-12-13
2025-06-14,ClientG,Google Ads,ClientG-Display-Prospecting,42915.0,2645,2443.52,84,6.16,0.92,29.09,6,ClientG,Display,2025-06-14
2025-09-05,ClientF,Facebook Ads,ClientF-Messenger,15908.0,582,1332.76,8,3.66,2.29,166.6,9,ClientF,Other,2025-09-05
2025-02-21,ClientH,Google Ads,ClientH-Display-Prospecting,18761.0,200,941.96,5,1.07,4.71,188.39,2,ClientH,Display,2025-02-21
2025-08-04,ClientJ,Google Ads,ClientJ-YouTube-Awareness,27092.0,695,2006.86,30,2.57,2.89,66.9,8,ClientJ,Other,2025-08-04
2025-08-24,ClientF,Google Ads,ClientF-Search-Brand,35235.0,1316,3244.27,50,3.73,2.47,64.89,8,ClientF,Search,2025-08-24
2025-10-28,ClientA,Google Ads,ClientA-Search-Brand,48089.0,2065,9144.65,40,4.29,4.43,228.62,10,ClientA,Search,2025-10-28
2025-03-24,ClientJ,Google Ads,ClientJ-Search-Brand,22452.0,1048,738.94,3,4.67,0.71,246.31,3,ClientJ,Search,2025-03-24
2024-12-04,ClientF,Google Ads,ClientF-Search-Brand,70173.0,3228,14279.54,108,7.36,2.76,82.64,12,ClientF,Search,2024-12-04
2025-04-13,ClientL,Google Ads,ClientL-Search-Brand,19951.0,1162,1709.93,7,5.82,1.47,244.28,4,ClientL,Search,2025-04-13
2025-05-22,ClientG,Facebook Ads,ClientG-Messenger,13947.0,363,1179.64,2,2.6,3.25,589.82,5,ClientG,Other,2025-05-22
2025-10-21,ClientD,Facebook Ads,ClientD-FB-Remarketing,11821.0,311,1108.41,0,2.63,3.56,0.0,10,ClientD,Other,2025-10-21
2025-10-08,ClientJ,Google Ads,ClientJ-Search-Nonbrand,42519.0,1661,7895.89,19,3.91,4.75,415.57,10,ClientJ,Search,2025-10-08
2025-06-30,ClientD,Facebook Ads,ClientD-Messenger,43057.0,3247,7616.15,48,7.54,2.35,158.67,6,ClientD,Other,2025-06-30
2025-02-17,ClientI,Facebook Ads,ClientI-FB-Prospecting,45900.0,2921,14042.32,52,6.36,4.81,270.04,2,ClientI,Other,2025-02-17
2025-07-08,ClientA,Google Ads,ClientA-Search-Brand,12818.0,319,434.94,4,2.49,1.36,108.74,7,ClientA,Search,2025-07-08
2025-03-10,ClientE,Google Ads,ClientE-Shopping-Products,44301.0,2582,4573.04,60,5.83,1.77,76.22,3,ClientE,Other,2025-03-10
2025-08-27,ClientI,Facebook Ads,ClientI-IG-Stories,22306.0,537,2588.31,1,2.41,4.82,2588.31,8,ClientI,Other,2025-08-27
2024-12-11,ClientD,Google Ads,ClientD-Display-Prospecting,33166.0,435,711.23,5,2.1,1.02,88.9,12,ClientD,Display,2024-12-11
2025-05-05,ClientA,Facebook Ads,ClientA-FB-Remarketing,39993.0,559,1005.68,1,1.4,1.8,1005.68,5,ClientA,Other,2025-05-05
2025-04-28,ClientI,Google Ads,ClientI-Search-Nonbrand,9433.0,410,1525.01,5,4.35,3.72,305.0,4,ClientI,Search,2025-04-28
2025-03-15,ClientC,Facebook Ads,ClientC-Messenger,41821.0,1190,5675.86,29,2.85,4.77,195.72,3,ClientC,Other,2025-03-15
2025-06-03,ClientA,Facebook Ads,ClientA-FB-Prospecting,44051.0,1881,4857.77,4,4.27,2.58,1214.44,6,ClientA,Other,2025-06-03
2025-09-24,ClientH,Google Ads,ClientH-Search-Brand,32297.0,1267,1901.23,63,3.92,1.5,30.18,9,ClientH,Search,2025-09-24
2025-03-05,ClientE,Facebook Ads,ClientE-FB-Prospecting,19953.0,1564,6805.04,26,7.84,4.35,261.73,3,ClientE,Other,2025-03-05
2025-04-07,ClientH,Facebook Ads,ClientH-FB-Remarketing,21215.0,1000,2663.71,18,4.71,2.66,147.98,4,ClientH,Other,2025-04-07
2025-09-16,ClientH,Facebook Ads,ClientH-FB-Prospecting,30371.0,1482,7105.19,30,4.88,4.79,236.84,9,ClientH,Other,2025-09-16
2025-05-17,ClientJ,Facebook Ads,ClientJ-FB-Remarketing,23786.0,1613,1067.74,34,6.78,0.66,31.4,5,ClientJ,Other,2025-05-17
2025-05-29,ClientI,Facebook Ads,ClientI-Messenger,23946.0,1804,8843.29,68,7.53,4.9,130.05,5,ClientI,Other,2025-05-29
2025-11-26,ClientJ,Facebook Ads,ClientJ-Messenger,35507.0,498,2722.72,5,2.24,3.42,340.34,11,ClientJ,Other,2025-11-26
2025-01-05,ClientG,Facebook Ads,ClientG-FB-Video,48579.0,3188,7924.26,141,6.56,2.49,56.2,1,ClientG,Other,2025-01-05
2024-12-12,ClientJ,Facebook Ads,ClientJ-FB-Prospecting,69778.0,1282,8433.68,42,2.94,4.11,125.5,12,ClientJ,Other,2024-12-12
2024-12-01,ClientB,Google Ads,ClientB-Search-Brand,26454.0,957,5603.01,46,5.79,3.66,76.13,12,ClientB,Search,2024-12-01
2025-11-11,ClientC,Google Ads,ClientC-YouTube-Awareness,23122.0,710,1768.19,24,4.91,1.56,46.05,11,ClientC,Other,2025-11-11
2025-06-25,ClientK,Google Ads,ClientK-Search-Brand,12877.0,642,1524.1,31,4.99,2.37,49.16,6,ClientK,Search,2025-06-25
2025-05-07,ClientJ,Facebook Ads,ClientJ-FB-Video,44657.0,1806,5822.1,64,4.04,3.22,90.97,5,ClientJ,Other,2025-05-07
2024-12-13,ClientC,Google Ads,ClientC-Search-Nonbrand,45995.0,2076,14181.84,93,7.22,4.27,95.31,12,ClientC,Search,2024-12-13
2025-03-15,ClientI,Google Ads,ClientI-Shopping-Products,49697.0,511,665.33,8,1.03,1.3,83.17,3,ClientI,Other,2025-03-15
2025-10-04,ClientK,Facebook Ads,ClientK-FB-Remarketing,2846.0,215,650.62,10,7.55,3.03,65.06,10,ClientK,Other,2025-10-04
2025-07-12,ClientA,Facebook Ads,ClientA-FB-Remarketing,44967.0,2782,5406.64,0,6.19,1.94,0.0,7,ClientA,Other,2025-07-12
2025-05-16,ClientF,Google Ads,ClientF-Shopping-Products,13638.0,889,4326.31,6,6.52,4.87,721.05,5,ClientF,Other,2025-05-16
2024-12-31,ClientG,Google Ads,ClientG-Display-Prospecting,13098.0,645,4966.37,11,7.88,4.81,282.18,12,ClientG,Display,2024-12-31
2025-08-05,ClientH,Facebook Ads,ClientH-IG-Stories,5340.0,327,307.16,2,6.12,0.94,153.58,8,ClientH,Other,2025-08-05
2025-08-01,ClientI,Facebook Ads,ClientI-FB-Prospecting,7136.0,473,1175.38,16,6.63,2.48,73.46,8,ClientI,Other,2025-08-01
2025-08-23,ClientH,Google Ads,ClientH-Display-Prospecting,31051.0,1331,3497.26,7,4.29,2.63,499.61,8,ClientH,Display,2025-08-23
2025-04-17,ClientG,Google Ads,ClientG-Display-Prospecting,938.0,54,269.54,1,5.76,4.99,269.54,4,ClientG,Display,2025-04-17
2025-08-28,ClientA,Google Ads,ClientA-YouTube-Awareness,49837.0,3232,1719.02,32,6.49,0.53,53.72,8,ClientA,Other,2025-08-28
2025-03-03,ClientA,Google Ads,ClientA-Search-Brand,22711.0,920,2078.85,3,4.05,2.26,692.95,3,ClientA,Search,2025-03-03
2025-07-12,ClientE,Google Ads,ClientE-Search-Nonbrand,8153.0,245,220.38,10,3.01,0.9,22.04,7,ClientE,Search,2025-07-12
2025-01-05,ClientK,Google Ads,ClientK-YouTube-Awareness,24147.0,323,1370.11,14,1.34,4.24,97.86,1,ClientK,Other,2025-01-05
2025-09-25,ClientF,Google Ads,ClientF-Search-Brand,30480.0,1348,1254.89,66,4.42,0.93,19.01,9,ClientF,Search,2025-09-25
2024-12-26,ClientA,Facebook Ads,ClientA-FB-Video,54562.0,2445,7981.65,70,7.17,2.04,71.26,12,ClientA,Other,2024-12-26
2025-10-11,ClientH,Google Ads,ClientH-YouTube-Awareness,11537.0,773,3419.81,5,6.7,4.42,683.96,10,ClientH,Other,2025-10-11
2025-07-30,ClientA,Google Ads,ClientA-Display-Prospecting,27206.0,2010,8449.48,68,7.39,4.2,124.26,7,ClientA,Display,2025-07-30
2025-07-21,ClientC,Facebook Ads,ClientC-Messenger,4624.0,357,941.68,17,7.72,2.64,55.39,7,ClientC,Other,2025-07-21
2025-05-31,ClientJ,Facebook Ads,ClientJ-FB-Remarketing,42672.0,2057,5688.39,15,4.82,2.77,379.23,5,ClientJ,Other,2025-05-31
2025-08-26,ClientI,Google Ads,ClientI-Search-Brand,18197.0,918,2893.24,43,5.04,3.15,67.28,8,ClientI,Search,2025-08-26
2025-07-21,ClientL,Google Ads,ClientL-Search-Nonbrand,11567.0,895,1068.25,22,7.74,1.19,48.56,7,ClientL,Search,2025-07-21
2025-07-24,ClientF,Google Ads,ClientF-Shopping-Products,44670.0,716,3254.17,7,1.6,4.54,464.88,7,ClientF,Other,2025-07-24
2025-08-20,ClientG,Facebook Ads,ClientG-IG-Stories,20770.0,1092,2297.64,10,5.26,2.1,229.76,8,ClientG,Other,2025-08-20
2025-11-21,ClientH,Google Ads,ClientH-Display-Prospecting,42435.0,2051,14550.77,70,7.73,4.43,129.92,11,ClientH,Display,2025-11-21
2025-11-02,ClientE,Facebook Ads,ClientE-FB-Prospecting,68984.0,1758,13174.18,78,4.08,4.68,105.56,11,ClientE,Other,2025-11-02
2025-01-31,ClientJ,Facebook Ads,ClientJ-FB-Video,40476.0,1439,3643.99,46,3.56,2.53,79.22,1,ClientJ,Other,2025-01-31
2025-05-23,ClientH,Facebook Ads,ClientH-IG-Stories,8329.0,104,498.6,4,1.25,4.79,124.65,5,ClientH,Other,2025-05-23
2024-11-30,ClientJ,Facebook Ads,ClientJ-FB-Video,24344.0,654,3992.24,26,4.3,3.82,95.97,11,ClientJ,Other,2024-11-30
2025-04-18,ClientL,Google Ads,ClientL-YouTube-Awareness,26660.0,830,2802.64,17,3.11,3.38,164.86,4,ClientL,Other,2025-04-18
2025-05-04,ClientL,Google Ads,ClientL-Shopping-Products,34121.0,929,3401.23,0,2.72,3.66,0.0,5,ClientL,Other,2025-05-04
2025-10-17,ClientC,Facebook Ads,ClientC-FB-Remarketing,6178.0,349,1127.13,8,5.65,3.23,140.89,10,ClientC,Other,2025-10-17
2025-04-22,ClientK,Facebook Ads,ClientK-IG-Stories,44410.0,2994,13437.33,141,6.74,4.49,95.3,4,ClientK,Other,2025-04-22
2025-09-16,ClientC,Facebook Ads,ClientC-Messenger,32663.0,1791,2260.78,66,5.48,1.26,34.25,9,ClientC,Other,2025-09-16
2025-04-29,ClientH,Facebook Ads,ClientH-IG-Stories,37749.0,1727,2016.64,53,4.57,1.17,38.05,4,ClientH,Other,2025-04-29
2025-06-08,ClientA,Facebook Ads,ClientA-IG-Stories,27904.0,2036,7787.01,34,7.3,3.82,229.03,6,ClientA,Other,2025-06-08
2025-02-08,ClientG,Google Ads,ClientG-Shopping-Products,46874.0,1780,7452.34,5,3.8,4.19,1490.47,2,ClientG,Other,2025-02-08
2025-09-28,ClientK,Google Ads,ClientK-Search-Nonbrand,7737.0,364,980.45,9,4.7,2.69,108.94,9,ClientK,Search,2025-09-28
2025-11-06,ClientF,Google Ads,ClientF-Display-Prospecting,17933.0,647,3027.36,21,5.77,2.92,90.1,11,ClientF,Display,2025-11-06
2025-04-16,ClientH,Facebook Ads,ClientH-Messenger,18291.0,345,1247.01,1,1.89,3.61,1247.01,4,ClientH,Other,2025-04-16
2025-06-02,ClientG,Google Ads,ClientG-Display-Prospecting,17307.0,497,473.19,12,2.87,0.95,39.43,6,ClientG,Display,2025-06-02
2025-09-16,ClientF,Google Ads,ClientF-Search-Brand,18264.0,551,1501.66,18,3.02,2.73,83.43,9,ClientF,Search,2025-09-16
2025-01-27,ClientL,Google Ads,ClientL-Shopping-Products,37361.0,2606,4348.16,120,6.98,1.67,36.23,1,ClientL,Other,2025-01-27
2025-06-13,ClientC,Facebook Ads,ClientC-FB-Video,25534.0,1798,3669.35,89,7.04,2.04,41.23,6,ClientC,Other,2025-06-13
2025-09-18,ClientD,Facebook Ads,ClientD-IG-Stories,26039.0,1537,793.5,17,5.9,0.52,46.68,9,ClientD,Other,2025-09-18
2025-10-12,ClientC,Google Ads,ClientC-YouTube-Awareness,43560.0,1436,1259.92,32,3.3,0.88,39.37,10,ClientC,Other,2025-10-12
2025-09-25,ClientA,Google Ads,ClientA-Search-Nonbrand,39217.0,1547,2073.38,3,3.94,1.34,691.13,9,ClientA,Search,2025-09-25
2025-11-06,ClientL,Google Ads,ClientL-Shopping-Products,5763.0,170,497.36,3,4.72,1.83,103.62,11,ClientL,Other,2025-11-06
2024-12-08,ClientG,Google Ads,ClientG-YouTube-Awareness,65568.0,1358,4196.38,62,3.31,1.93,42.3,12,ClientG,Other,2024-12-08
2025-01-28,ClientC,Google Ads,ClientC-Display-Prospecting,26798.0,1231,2996.79,53,4.59,2.43,56.54,1,ClientC,Display,2025-01-28
2025-10-26,ClientI,Google Ads,ClientI-Search-Nonbrand,37231.0,2433,4655.8,121,6.53,1.91,38.48,10,ClientI,Search,2025-10-26
2025-07-11,ClientB,Google Ads,ClientB-Display-Prospecting,20972.0,753,978.07,22,3.59,1.3,44.46,7,ClientB,Display,2025-07-11
2025-04-29,ClientH,Google Ads,ClientH-Search-Nonbrand,39091.0,1065,2875.64,36,2.72,2.7,79.88,4,ClientH,Search,2025-04-29
2025-06-14,ClientA,Facebook Ads,ClientA-IG-Stories,5669.0,62,150.95,3,1.09,2.43,50.32,6,ClientA,Other,2025-06-14
2025-01-18,ClientG,Facebook Ads,ClientG-FB-Video,36720.0,842,610.79,14,2.29,0.73,43.63,1,ClientG,Other,2025-01-18
2025-08-14,ClientJ,Facebook Ads,ClientJ-Messenger,44216.0,2412,9095.85,79,5.46,3.77,115.14,8,ClientJ,Other,2025-08-14
2025-01-25,ClientG,Facebook Ads,ClientG-Messenger,38167.0,2092,7768.33,52,5.48,3.71,149.39,1,ClientG,Other,2025-01-25
2025-02-07,ClientC,Facebook Ads,ClientC-Messenger,32533.0,1470,2746.25,22,4.52,1.87,124.83,2,ClientC,Other,2025-02-07
2025-04-24,ClientA,Facebook Ads,ClientA-FB-Remarketing,25814.0,1368,2193.4,26,5.3,1.6,84.36,4,ClientA,Other,2025-04-24
2025-11-11,ClientK,Facebook Ads,ClientK-FB-Video,67133.0,3092,5430.59,44,7.37,1.1,77.14,11,ClientK,Other,2025-11-11
2025-01-29,ClientH,Google Ads,ClientH-Search-Nonbrand,34659.0,421,1795.69,12,1.21,4.27,149.64,1,ClientH,Search,2025-01-29
2025-10-03,ClientD,Google Ads,ClientD-Display-Prospecting,3593.0,204,948.02,3,5.68,4.65,316.01,10,ClientD,Display,2025-10-03
2025-07-28,ClientF,Google Ads,ClientF-Shopping-Products,9272.0,711,2154.78,10,7.67,3.03,215.48,7,ClientF,Other,2025-07-28
2025-10-23,ClientC,Google Ads,ClientC-Search-Brand,18674.0,985,2140.35,37,5.27,2.17,57.85,10,ClientC,Search,2025-10-23
2025-03-14,ClientH,Google Ads,ClientH-Search-Brand,38430.0,1979,1554.56,62,5.15,0.79,25.07,3,ClientH,Search,2025-03-14
2025-07-11,ClientA,Google Ads,ClientA-Search-Brand,22293.0,762,1202.13,33,3.42,1.58,36.43,7,ClientA,Search,2025-07-11
2025-10-06,ClientB,Facebook Ads,ClientB-FB-Remarketing,13704.0,372,364.36,6,2.71,0.98,60.73,10,ClientB,Other,2025-10-06
2025-07-03,ClientH,Google Ads,ClientH-Display-Prospecting,42938.0,3162,13753.77,81,7.36,4.35,169.8,7,ClientH,Display,2025-07-03
2025-07-26,ClientE,Facebook Ads,ClientE-IG-Stories,38947.0,1903,8785.36,14,4.89,4.62,627.53,7,ClientE,Other,2025-07-26
2025-08-13,ClientA,Facebook Ads,ClientA-IG-Stories,49693.0,3088,6964.04,70,6.21,2.26,99.49,8,ClientA,Other,2025-08-13
2025-08-16,ClientG,Google Ads,ClientG-Search-Nonbrand,12632.0,358,1152.86,7,2.83,3.22,164.69,8,ClientG,Search,2025-08-16
2024-12-02,ClientE,Facebook Ads,ClientE-Messenger,21589.0,148,409.58,5,1.1,1.73,51.2,12,ClientE,Other,2024-12-02
2025-08-15,ClientA,Google Ads,ClientA-Search-Nonbrand,8964.0,610,816.83,27,6.8,1.34,30.25,8,ClientA,Search,2025-08-15
2025-01-20,ClientF,Facebook Ads,ClientF-FB-Video,38076.0,2998,10500.34,47,7.87,3.5,223.41,1,ClientF,Other,2025-01-20
2025-01-13,ClientH,Facebook Ads,ClientH-FB-Remarketing,18171.0,701,3339.88,17,3.86,4.76,196.46,1,ClientH,Other,2025-01-13
2025-06-30,ClientA,Facebook Ads,ClientA-FB-Remarketing,33638.0,385,1463.52,17,1.14,3.8,86.09,6,ClientA,Other,2025-06-30
2025-05-23,ClientK,Google Ads,ClientK-YouTube-Awareness,5680.0,110,318.66,0,1.94,2.9,0.0,5,ClientK,Other,2025-05-23
2024-12-06,ClientF,Facebook Ads,ClientF-FB-Prospecting,7942.0,52,293.49,0,1.05,3.53,0.0,12,ClientF,Other,2024-12-06
2025-03-06,ClientG,Facebook Ads,ClientG-IG-Stories,27609.0,719,1903.04,25,2.6,2.65,76.12,3,ClientG,Other,2025-03-06
2024-12-17,ClientB,Facebook Ads,ClientB-FB-Remarketing,79918.0,1340,6024.27,14,2.68,2.81,268.94,12,ClientB,Other,2024-12-17
2025-07-26,ClientD,Google Ads,ClientD-Search-Brand,39148.0,664,870.01,23,1.7,1.31,37.83,7,ClientD,Search,2025-07-26
2025-01-27,ClientD,Google Ads,ClientD-Shopping-Products,26403.0,1526,1389.58,4,5.78,0.91,347.4,1,ClientD,Other,2025-01-27
2025-05-24,ClientG,Google Ads,ClientG-Display-Prospecting,18846.0,549,552.48,25,2.91,1.01,22.1,5,ClientG,Display,2025-05-24
2025-10-31,ClientC,Facebook Ads,ClientC-FB-Prospecting,36925.0,1660,1361.44,9,4.5,0.82,151.27,10,ClientC,Other,2025-10-31
2025-01-28,ClientJ,Facebook Ads,ClientJ-FB-Prospecting,1914.0,111,167.46,4,5.8,1.51,41.86,1,ClientJ,Other,2025-01-28
2025-04-21,ClientB,Facebook Ads,ClientB-FB-Remarketing,13007.0,764,3388.7,11,5.87,4.44,308.06,4,ClientB,Other,2025-04-21
2025-07-01,ClientJ,Google Ads,ClientJ-YouTube-Awareness,19118.0,596,2164.99,7,3.12,3.63,309.28,7,ClientJ,Other,2025-07-01
2024-11-30,ClientJ,Google Ads,ClientJ-Shopping-Products,9478.0,267,1738.82,12,4.51,4.07,90.56,11,ClientJ,Other,2024-11-30
2025-05-06,ClientJ,Facebook Ads,ClientJ-FB-Video,9520.0,498,1548.15,0,5.23,3.11,0.0,5,ClientJ,Other,2025-05-06
2025-07-12,ClientC,Facebook Ads,ClientC-FB-Prospecting,16849.0,795,2518.8,7,4.72,3.17,359.83,7,ClientC,Other,2025-07-12
2025-08-23,ClientF,Google Ads,ClientF-Search-Nonbrand,937.0,19,82.91,1,2.03,4.36,82.91,8,ClientF,Search,2025-08-23
2025-03-27,ClientJ,Google Ads,ClientJ-YouTube-Awareness,22411.0,1499,3620.3,54,6.69,2.42,67.04,3,ClientJ,Other,2025-03-27
2025-02-24,ClientG,Facebook Ads,ClientG-FB-Video,46431.0,1575,2502.3,16,3.39,1.59,156.39,2,ClientG,Other,2025-02-24
2025-10-22,ClientH,Google Ads,ClientH-Search-Nonbrand,39985.0,2675,3781.44,48,6.69,1.41,78.78,10,ClientH,Search,2025-10-22
2025-02-03,ClientJ,Google Ads,ClientJ-Search-Brand,643.0,19,50.94,0,2.95,2.68,0.0,2,ClientJ,Search,2025-02-03
2025-11-19,ClientG,Google Ads,ClientG-Search-Nonbrand,15506.0,376,679.65,0,3.88,1.13,0.0,11,ClientG,Search,2025-11-19
2025-03-05,ClientL,Google Ads,ClientL-Display-Prospecting,9229.0,301,1365.38,6,3.26,4.54,227.56,3,ClientL,Display,2025-03-05
2025-08-21,ClientH,Facebook Ads,ClientH-FB-Video,15766.0,1054,3809.32,32,6.69,3.61,119.04,8,ClientH,Other,2025-08-21
2025-03-12,ClientI,Google Ads,ClientI-Display-Prospecting,47569.0,2374,5216.59,56,4.99,2.2,93.15,3,ClientI,Display,2025-03-12
2025-10-16,ClientK,Facebook Ads,ClientK-FB-Video,35759.0,914,566.14,33,2.56,0.62,17.16,10,ClientK,Other,2025-10-16
2025-03-30,ClientB,Google Ads,ClientB-Shopping-Products,31755.0,565,722.66,11,1.78,1.28,65.7,3,ClientB,Other,2025-03-30
2024-12-26,ClientK,Facebook Ads,ClientK-FB-Prospecting,51584.0,835,5851.55,7,2.59,4.38,522.46,12,ClientK,Other,2024-12-26
2025-04-13,ClientK,Google Ads,ClientK-Shopping-Products,42669.0,1320,2589.15,46,3.09,1.96,56.29,4,ClientK,Other,2025-04-13
2025-06-10,ClientC,Google Ads,ClientC-Shopping-Products,19279.0,1448,2098.04,38,7.51,1.45,55.21,6,ClientC,Other,2025-06-10
2025-07-11,ClientK,Facebook Ads,ClientK-IG-Stories,36654.0,2852,13301.7,94,7.78,4.66,141.51,7,ClientK,Other,2025-07-11
2025-10-25,ClientK,Google Ads,ClientK-Search-Nonbrand,13267.0,868,3659.86,40,6.54,4.22,91.5,10,ClientK,Search,2025-10-25
2025-05-16,ClientE,Google Ads,ClientE-Display-Prospecting,10343.0,430,413.43,5,4.16,0.96,82.69,5,ClientE,Display,2025-05-16
2024-12-06,ClientD,Facebook Ads,ClientD-FB-Prospecting,43754.0,847,1670.08,15,3.1,1.23,69.59,12,ClientD,Other,2024-12-06
2025-01-06,ClientB,Google Ads,ClientB-Display-Prospecting,18608.0,1150,4072.1,16,6.18,3.54,254.51,1,ClientB,Display,2025-01-06
2024-12-22,ClientH,Google Ads,ClientH-Display-Prospecting,39944.0,1859,5499.2,12,7.45,1.85,286.42,12,ClientH,Display,2024-12-22
2025-08-15,ClientB,Google Ads,ClientB-Search-Nonbrand,40188.0,1436,1131.27,62,3.57,0.79,18.25,8,ClientB,Search,2025-08-15
2025-07-11,ClientH,Google Ads,ClientH-Search-Nonbrand,41127.0,2954,13374.49,109,7.18,4.53,122.7,7,ClientH,Search,2025-07-11
2025-03-31,ClientC,Facebook Ads,ClientC-FB-Video,26844.0,1577,2522.38,30,5.87,1.6,84.08,3,ClientC,Other,2025-03-31
2025-01-04,ClientH,Facebook Ads,ClientH-IG-Stories,20985.0,1059,852.07,0,5.05,0.8,0.0,1,ClientH,Other,2025-01-04
2025-10-21,ClientE,Google Ads,ClientE-Search-Nonbrand,17875.0,788,3917.6,21,4.41,4.97,186.55,10,ClientE,Search,2025-10-21
2025-08-05,ClientC,Facebook Ads,ClientC-IG-Stories,29508.0,1591,4639.89,10,5.39,2.92,463.99,8,ClientC,Other,2025-08-05
2025-05-22,ClientA,Facebook Ads,ClientA-IG-Stories,41483.0,2531,6791.88,10,6.1,2.68,679.19,5,ClientA,Other,2025-05-22
2025-02-25,ClientE,Facebook Ads,ClientE-FB-Prospecting,22412.0,1757,3654.93,69,7.84,2.08,52.97,2,ClientE,Other,2025-02-25
